"","y","black","female","v.prev.full","age","edu","age.edu","state","region.full"
"261",0,0,1,0.505500021378199,2,3,7,24,2
"262",NA,0,0,0.543666702906291,1,3,3,5,4
"263",1,0,0,0.489766651884715,3,4,12,22,1
"264",1,0,1,0.584566701952616,2,3,7,6,4
"265",1,0,1,0.564166665871938,2,4,8,31,1
"266",1,0,0,0.608066638533274,1,3,3,47,3
"267",1,0,1,0.505500021378199,1,3,3,24,2
"268",1,0,1,0.501166654507319,1,3,3,21,1
"269",1,0,0,0.493566658401489,3,2,10,49,1
"270",1,0,0,0.548066697978973,2,2,6,23,2
"271",0,0,1,0.584566701952616,2,4,8,6,4
"272",0,0,1,0.564166665871938,3,2,10,31,1
"273",1,0,1,0.554433295345306,1,3,3,48,4
"274",1,0,1,0.602099974091848,1,3,3,17,2
"275",1,0,0,0.603233325068156,1,3,3,37,3
"276",1,0,1,0.552200000635783,3,2,10,36,2
"277",1,0,1,0.552200000635783,3,4,12,36,2
"278",0,0,0,0.543666702906291,2,4,8,5,4
"279",0,1,0,0.52436664425532,2,4,8,33,1
"280",0,1,0,0.554300017801921,1,3,3,43,3
"281",0,1,0,0.584099987602234,1,2,2,19,3
"282",0,0,0,0.533566686375936,1,4,4,26,2
"283",1,0,0,0.554300017801921,3,2,10,43,3
"284",0,1,0,0.584099987602234,2,3,7,19,3
"285",1,0,0,0.564166665871938,1,3,3,31,1
"286",0,0,1,0.61163329073588,4,2,14,10,3
"287",1,0,0,0.526566670163472,3,4,12,39,1
"288",0,0,1,0.554300017801921,2,4,8,43,3
"289",1,0,1,0.489766651884715,1,2,2,22,1
"290",0,0,1,0.548066697978973,2,4,8,23,2
"291",1,0,1,0.523033343982697,3,2,10,11,3
"292",0,0,1,0.537000003655752,3,1,9,14,2
"293",1,1,0,0.572766618665059,1,2,2,41,3
"294",1,0,1,0.571833309491475,3,3,11,34,3
"295",0,0,0,0.537000003655752,1,2,2,14,2
"296",0,0,0,0.493566658401489,2,3,7,49,1
"297",0,0,0,0.61163329073588,1,1,1,10,3
"298",0,0,0,0.548066697978973,3,4,12,23,2
"299",0,0,1,0.489766651884715,2,2,6,22,1
"300",0,0,0,0.527833360989889,1,4,4,50,2
"301",0,0,0,0.52436664425532,2,2,6,33,1
"302",0,0,1,0.554300017801921,3,2,10,43,3
"303",0,0,0,0.539733344459534,4,2,14,4,3
"304",1,0,1,0.552200000635783,2,2,6,36,2
"305",0,1,1,0.523033343982697,3,1,9,11,3
"306",0,0,1,0.548066697978973,2,2,6,23,2
"307",1,0,1,0.61163329073588,3,3,11,10,3
"308",0,0,1,0.489766651884715,1,3,3,22,1
"309",0,0,1,0.526566670163472,4,4,16,39,1
"310",1,0,0,0.489766651884715,4,3,15,22,1
"311",1,0,0,0.603233325068156,1,3,3,37,3
"312",1,0,1,0.537000003655752,2,3,7,14,2
"313",0,0,0,0.537000003655752,4,2,14,14,2
"314",0,0,1,0.505500021378199,1,3,3,24,2
"315",0,0,0,0.526566670163472,2,2,6,39,1
"316",1,0,0,0.548066697978973,3,3,11,23,2
"317",0,0,0,0.61163329073588,3,3,11,10,3
"318",1,0,1,0.523033343982697,2,4,8,11,3
"319",0,0,0,0.548066697978973,2,3,7,23,2
"320",0,0,1,0.526566670163472,1,2,2,39,1
"321",0,0,1,0.523033343982697,2,2,6,11,3
"322",0,0,0,0.489766651884715,2,4,8,22,1
"323",0,0,0,0.608066638533274,1,2,2,47,3
"324",0,0,0,0.489766651884715,1,2,2,22,1
"325",0,0,1,0.52436664425532,1,2,2,33,1
"326",0,0,0,0.537000003655752,1,1,1,14,2
"327",0,0,1,0.533566686375936,3,2,10,26,2
"328",1,0,1,0.665466688283284,3,3,11,28,2
"329",1,0,0,0.548066697978973,1,2,2,23,2
"330",1,0,0,0.564166665871938,2,4,8,31,1
"331",1,0,1,0.599733334604899,2,3,7,42,2
"332",0,0,0,0.564166665871938,4,2,14,31,1
"333",1,0,1,0.594033358287811,4,1,13,44,3
"334",1,1,0,0.571833309491475,2,3,7,34,3
"335",1,0,0,0.523033343982697,1,3,3,11,3
"336",0,0,0,0.537000003655752,2,2,6,14,2
"337",0,1,0,0.52436664425532,1,2,2,33,1
"338",1,0,1,0.554300017801921,4,4,16,43,3
"339",1,0,1,0.581833334445953,4,1,13,15,2
"340",0,0,1,0.581833334445953,2,3,7,15,2
"341",0,0,0,0.564166665871938,4,2,14,31,1
"342",0,0,1,0.489766651884715,2,4,8,22,1
"343",1,0,1,0.533566686375936,3,2,10,26,2
"344",1,1,1,0.565133328723908,2,1,5,1,3
"345",1,0,0,0.493566658401489,2,2,6,49,1
"346",0,0,1,0.537000003655752,3,2,10,14,2
"347",1,0,1,0.52436664425532,1,2,2,33,1
"348",0,0,0,0.52436664425532,4,2,14,33,1
"349",1,0,0,0.564166665871938,2,4,8,31,1
"350",0,0,0,0.608066638533274,2,4,8,47,3
"351",1,0,0,0.552200000635783,3,3,11,36,2
"352",1,0,0,0.52436664425532,3,1,9,33,1
"353",0,0,1,0.52436664425532,2,3,7,33,1
"354",0,0,0,0.632033331902822,2,2,6,30,1
"355",0,0,1,0.489766651884715,1,2,2,22,1
"356",1,0,1,0.594033358287811,3,4,12,44,3
"357",NA,0,0,0.565133328723908,2,4,8,1,3
"358",NA,0,0,0.52436664425532,4,1,13,33,1
"359",1,0,0,0.582999997297923,2,3,7,25,3
"360",1,0,1,0.52436664425532,2,4,8,33,1
"361",1,0,1,0.548066697978973,3,2,10,23,2
"362",0,0,1,0.548066697978973,3,2,10,23,2
"363",1,0,0,0.572766618665059,3,4,12,41,3
"364",1,0,1,0.505500021378199,3,3,11,24,2
"365",1,0,0,0.478700007629395,2,2,6,40,1
"366",0,0,1,0.594033358287811,3,2,10,44,3
"367",0,0,0,0.489766651884715,2,2,6,22,1
"368",0,0,1,0.505500021378199,4,1,13,24,2
"369",1,0,0,0.559299989509582,2,2,6,46,1
"370",0,0,1,0.564166665871938,2,3,7,31,1
"371",0,0,1,0.52436664425532,2,3,7,33,1
"372",1,0,0,0.594033358287811,1,2,2,44,3
"373",1,0,0,0.552200000635783,2,3,7,36,2
"374",0,0,1,0.571833309491475,3,2,10,34,3
"375",1,0,1,0.572766618665059,2,4,8,41,3
"376",0,0,1,0.584099987602234,2,2,6,19,3
"377",1,0,0,0.564166665871938,1,4,4,31,1
"378",1,0,1,0.584099987602234,1,2,2,19,3
"379",1,1,1,0.608066638533274,1,2,2,47,3
"380",NA,0,0,0.548066697978973,2,4,8,23,2
"381",1,0,1,0.564166665871938,2,2,6,31,1
"382",0,0,1,0.478700007629395,2,4,8,40,1
"383",1,0,0,0.572766618665059,3,2,10,41,3
"384",1,0,0,0.61163329073588,1,4,4,10,3
"385",0,1,1,0.537000003655752,1,4,4,14,2
"386",0,0,1,0.489766651884715,3,2,10,22,1
"387",0,0,0,0.564166665871938,3,4,12,31,1
"388",0,0,0,0.61163329073588,3,2,10,10,3
"389",1,0,1,0.594033358287811,3,3,11,44,3
"390",1,0,1,0.526566670163472,1,2,2,39,1
"391",1,0,1,0.493566658401489,1,1,1,49,1
"392",1,0,1,0.523033343982697,2,2,6,11,3
"393",0,0,0,0.52436664425532,3,4,12,33,1
"394",0,0,0,0.61163329073588,1,3,3,10,3
"395",1,0,1,0.523033343982697,2,3,7,11,3
"396",1,0,0,0.571833309491475,2,2,6,34,3
"397",1,0,0,0.571833309491475,4,1,13,34,3
"398",1,0,0,0.533566686375936,2,3,7,26,2
"399",1,0,1,0.548066697978973,3,2,10,23,2
"400",1,0,0,0.52436664425532,2,4,8,33,1
"401",1,0,1,0.501166654507319,1,3,3,21,1
"402",1,0,0,0.608066638533274,1,4,4,47,3
"403",1,0,1,0.523033343982697,3,4,12,11,3
"404",NA,0,0,0.61163329073588,2,4,8,10,3
"405",1,0,1,0.608066638533274,2,2,6,47,3
"406",1,0,1,0.602099974091848,2,3,7,17,2
"407",1,0,0,0.489766651884715,2,4,8,22,1
"408",1,0,0,0.52436664425532,2,4,8,33,1
"409",1,1,0,0.61163329073588,2,1,5,10,3
"410",1,0,0,0.594033358287811,4,2,14,44,3
"411",1,1,1,0.52436664425532,1,4,4,33,1
"412",1,0,1,0.582999997297923,3,2,10,25,3
"413",1,0,0,0.548066697978973,2,2,6,23,2
"414",1,0,0,0.584099987602234,1,2,2,19,3
"415",0,1,0,0.501166654507319,1,2,2,21,1
"416",0,0,0,0.493566658401489,3,2,10,49,1
"417",0,0,1,0.572766618665059,4,2,14,41,3
"418",1,0,1,0.493566658401489,2,2,6,49,1
"419",NA,0,1,0.526566670163472,3,3,11,39,1
"420",NA,0,1,0.584099987602234,4,1,13,19,3
"421",0,0,1,0.52436664425532,2,4,8,33,1
"422",0,0,0,0.526566670163472,4,4,16,39,1
"423",0,1,1,0.523033343982697,3,2,10,11,3
"424",1,0,1,0.526566670163472,4,2,14,39,1
"425",1,0,0,0.61163329073588,1,2,2,10,3
"426",1,0,1,0.61163329073588,2,2,6,10,3
"427",NA,0,0,0.505500021378199,2,4,8,24,2
"428",0,0,1,0.501166654507319,3,2,10,21,1
"429",1,0,1,0.594033358287811,3,4,12,44,3
"430",1,0,1,0.594033358287811,2,4,8,44,3
"431",NA,0,0,0.505500021378199,2,4,8,24,2
"432",1,0,1,0.52436664425532,3,2,10,33,1
"433",1,0,0,0.594033358287811,4,4,16,44,3
"434",1,0,1,0.529166691144307,2,2,6,18,3
"435",1,0,1,0.594033358287811,4,4,16,44,3
"436",1,0,1,0.554300017801921,2,4,8,43,3
"437",NA,0,1,0.52436664425532,3,2,10,33,1
"438",1,0,1,0.52436664425532,3,4,12,33,1
"439",1,0,1,0.594033358287811,1,2,2,44,3
"440",1,0,0,0.571833309491475,1,2,2,34,3
"441",1,0,0,0.564166665871938,1,3,3,31,1
"442",1,0,1,0.543666702906291,4,2,14,5,4
"443",1,0,1,0.571833309491475,2,4,8,34,3
"444",1,0,0,0.564166665871938,2,1,5,31,1
"445",0,0,1,0.537000003655752,4,1,13,14,2
"446",1,0,1,0.529166691144307,3,2,10,18,3
"447",NA,0,1,0.61163329073588,1,2,2,10,3
"448",NA,0,1,0.539733344459534,4,3,15,4,3
"449",0,0,1,0.489766651884715,1,4,4,22,1
"450",1,0,1,0.554300017801921,3,2,10,43,3
"451",1,0,1,0.584566701952616,1,4,4,6,4
"452",NA,0,0,0.594033358287811,4,4,16,44,3
"453",0,0,1,0.537000003655752,2,4,8,14,2
"454",1,0,1,0.564166665871938,2,3,7,31,1
"455",1,0,0,0.526566670163472,1,2,2,39,1
"456",0,0,0,0.61163329073588,3,4,12,10,3
"457",0,0,1,0.571833309491475,2,1,5,34,3
"458",1,0,0,0.61163329073588,4,2,14,10,3
"459",0,0,1,0.526566670163472,2,3,7,39,1
"460",0,0,0,0.581833334445953,3,2,10,15,2
"461",1,0,1,0.489766651884715,2,3,7,22,1
"462",1,0,0,0.594033358287811,2,4,8,44,3
"463",1,0,1,0.537000003655752,2,3,7,14,2
"464",1,0,0,0.61163329073588,4,2,14,10,3
"465",1,0,1,0.594033358287811,1,4,4,44,3
"466",1,0,0,0.608066638533274,1,3,3,47,3
"467",1,0,0,0.529166691144307,1,3,3,18,3
"468",1,0,1,0.594033358287811,1,3,3,44,3
"469",0,0,1,0.478700007629395,2,3,7,40,1
"470",0,0,0,0.603233325068156,2,3,7,37,3
"471",0,0,1,0.552200000635783,2,2,6,36,2
"472",1,0,0,0.529166691144307,3,3,11,18,3
"473",NA,0,1,0.554300017801921,3,1,9,43,3
"474",0,0,0,0.526566670163472,4,2,14,39,1
"475",1,0,0,0.52436664425532,2,2,6,33,1
"476",1,0,1,0.554300017801921,1,3,3,43,3
"477",0,0,1,0.505500021378199,2,2,6,24,2
"478",0,0,1,0.61163329073588,1,1,1,10,3
"479",1,0,1,0.552200000635783,1,4,4,36,2
"480",1,0,1,0.537000003655752,3,2,10,14,2
"481",1,0,1,0.61163329073588,2,4,8,10,3
"482",1,0,1,0.61163329073588,2,4,8,10,3
"483",1,0,1,0.523033343982697,1,2,2,11,3
"484",1,0,0,0.61163329073588,4,1,13,10,3
"485",1,0,1,0.52436664425532,3,3,11,33,1
"486",0,0,1,0.526566670163472,1,2,2,39,1
"487",1,0,1,0.602099974091848,3,2,10,17,2
"488",0,0,1,0.533566686375936,2,4,8,26,2
"489",1,0,1,0.608066638533274,2,2,6,47,3
"490",1,0,1,0.61163329073588,2,3,7,10,3
"491",0,0,1,0.527833360989889,1,3,3,50,2
"492",1,0,0,0.523033343982697,2,4,8,11,3
"493",1,0,1,0.529166691144307,2,2,6,18,3
"494",1,0,1,0.527833360989889,2,2,6,50,2
"495",1,0,0,0.52436664425532,1,2,2,33,1
"496",1,0,1,0.665466688283284,3,4,12,28,2
"497",1,0,0,0.554300017801921,3,2,10,43,3
"498",0,0,0,0.505500021378199,3,2,10,24,2
"499",0,0,0,0.584099987602234,2,3,7,19,3
"500",1,0,1,0.564166665871938,1,4,4,31,1
"501",1,0,1,0.52436664425532,2,3,7,33,1
"502",0,0,0,0.533566686375936,4,3,15,26,2
"503",1,0,1,0.548066697978973,2,3,7,23,2
"504",1,0,0,0.537000003655752,2,3,7,14,2
"505",1,0,1,0.554300017801921,1,4,4,43,3
"506",1,0,1,0.594033358287811,2,2,6,44,3
"507",1,0,0,0.529166691144307,3,1,9,18,3
"508",1,0,1,0.539733344459534,1,2,2,4,3
"509",1,0,1,0.537000003655752,1,2,2,14,2
"510",1,0,1,0.533566686375936,2,4,8,26,2
"511",1,0,0,0.565133328723908,2,2,6,1,3
"512",1,0,0,0.692699998092651,1,4,4,45,4
"513",1,0,1,0.602099974091848,2,2,6,17,2
"514",1,0,0,0.594033358287811,1,4,4,44,3
"515",0,0,1,0.582999997297923,2,1,5,25,3
