"","country","date","gdp","unem","capmob","trade"
"264","Sweden",1979,3.8,1.5,-1,55.41762
"269","Sweden",1984,3.4,3.1,-1,68.5121
"276","Norway",1966,3.7861464,0.8,-2,82.25382
"277","Norway",1967,6.2568582,0.8,-2,83.08898
"279","Norway",1969,6.4,1,-2,84.23661
"280","Norway",1970,6.7,0.8,-2,82.44259
"281","Norway",1971,4.6,0.8,-2,84.91699
"282","Norway",1972,5.2,1.7,-2,83.66345
"283","Norway",1973,4.1,1.5,-2,80.62762
"284","Norway",1974,5.2,1.5,-1,87.61421
"285","Norway",1975,4.2,2.3,-1,95.4297
"286","Norway",1976,6.8,1.8,-1,90.33502
"287","Norway",1977,3.6,1.5,-1,91.72334
"288","Norway",1978,4.5,1.7,-1,90.33905
"289","Norway",1979,5.1,2,-1,82.75804
"290","Norway",1980,4.2,1.7,-1,85.70865
"293","Norway",1983,3.9,3.3,-1,85.11059
"294","Norway",1984,3.8,3.1,-1,83.61769
"295","Norway",1985,5.3,2.6,-1,85.50693
"296","Norway",1986,4.2,2,-1,85.75997
"297","Norway",1987,3.4,2.1,-1,79.00841
"302","Denmark",1967,3.4212094,2.7,-3,58.78237
"304","Denmark",1969,6.5,3.9,-2,56.77313
"307","Denmark",1972,5.3,3.6,-2,57.03129
"308","Denmark",1973,3.6,2.4,-2,53.59322
"326","Japan",1966,10.6382757,0.9,-2,20.64122
"327","Japan",1967,11.0823408,1.3,-2,20.5948
"328","Japan",1968,12.8,1.2,-2,20.05519
"329","Japan",1969,12.3,1.1,-2,20.08211
"330","Japan",1970,9.8,1.2,-2,20.59826
"331","Japan",1971,4.2,1.2,-1,21.5081
"332","Japan",1972,8.4,1.4,-1,21.95309
"333","Japan",1973,7.9,1.3,-1,20.1664
"336","Japan",1976,4.8,2,-1,27.42852
"337","Japan",1977,5.3,2,-1,28.03661
"338","Japan",1978,5.1,2.2,-1,26.11608
"339","Japan",1979,5.2,2.1,-1,22.00218
"340","Japan",1980,4.4,2,0,26.31612
"341","Japan",1981,3.9,2.2,0,31.21532
"344","Japan",1984,5,2.7,0,29.7358
"345","Japan",1985,4.7,2.6,0,30.6541
"347","Japan",1987,4.4,2.9,0,21.90987
"348","Japan",1988,5.7,2.5,0,21.71235
"349","Japan",1989,4.7,2.2647528,0,23.128797
"350","Japan",1990,5.2,2.0989975,0,20.000304
